

Software Version	2.01.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Catherine48hrgrowthcurve_161216_112453.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Catherine48hrgrowthcurve.prt



Plate Number	Plate 1
Date	12/16/2016
Time	11:28:41 AM
Reader Type:	Synergy Mx
Reader Serial Number:	219512
Reading Type	Reader

Procedure Details

Plate Type	Costar 48 well
Set Temperature	Setpoint 25°C
	Preheat before moving to next step
Shake	Medium, 0:10 (MM:SS)
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:30:00, 97 Reads
    Shake	Slow, Continuous
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Layout
	1	2	3	4	5	6	7	8
A	SPL1	SPL9	SPL17	SPL25	SPL33	SPL41	SPL49	SPL57	Well ID
B	SPL2	SPL10	SPL18	SPL26	SPL34	SPL42	SPL50	SPL58	Well ID
C	SPL3	SPL11	SPL19	SPL27	SPL35	SPL43	SPL51	SPL59	Well ID
D	SPL4	SPL12	SPL20	SPL28	SPL36	SPL44	SPL52	SPL60	Well ID
E	SPL5	SPL13	SPL21	SPL29	SPL37	SPL45	SPL53	SPL61	Well ID
F	SPL6	SPL14	SPL22	SPL30	SPL38	SPL46	SPL54	SPL62	Well ID



Actual Temperature:	25.0

Results
	1	2	3	4	5	6	7	8
A	0.037	0.036	0.036	0.036	0.036	0.037	0.036	0.036	Read 1:600
B	0.039	0.065	0.058	0.062	0.057	0.047	0.049	0.036	Read 1:600
C	0.036	0.050	0.053	0.048	0.054	0.051	0.049	0.036	Read 1:600
D	0.038	0.067	0.063	0.048	0.057	0.043	0.043	0.073	Read 1:600
E	0.036	0.042	0.042	0.046	0.040	0.042	0.044	0.037	Read 1:600
F	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.037	Read 1:600

Read 2:600

Time	T° Read 2:600	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	E1	E2	E3	E4	E5	E6	E7	E8	F1	F2	F3	F4	F5	F6	F7	F8
0:29:43	25.0	0.037	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.039	0.052	0.050	0.051	0.053	0.054	0.054	0.037	0.037	0.078	0.058	0.046	0.047	0.047	0.046	0.036	0.038	0.065	0.061	0.050	0.058	0.043	0.043	0.074	0.037	0.042	0.043	0.046	0.040	0.043	0.043	0.038	0.038	0.038	0.038	0.038	0.037	0.037	0.037	0.037
0:59:43	25.0	0.037	0.035	0.036	0.036	0.036	0.037	0.037	0.037	0.039	0.051	0.050	0.050	0.051	0.054	0.053	0.037	0.037	0.070	0.057	0.047	0.047	0.048	0.046	0.036	0.038	0.066	0.057	0.049	0.056	0.043	0.043	0.076	0.037	0.043	0.043	0.047	0.040	0.044	0.044	0.038	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.037
1:29:43	25.1	0.037	0.035	0.036	0.036	0.036	0.037	0.037	0.037	0.039	0.051	0.050	0.051	0.051	0.053	0.051	0.037	0.037	0.053	0.056	0.047	0.047	0.048	0.046	0.036	0.037	0.067	0.058	0.050	0.054	0.044	0.043	0.075	0.037	0.043	0.043	0.047	0.040	0.044	0.044	0.038	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
1:59:43	25.1	0.037	0.035	0.037	0.036	0.036	0.037	0.037	0.037	0.039	0.051	0.051	0.051	0.051	0.053	0.050	0.037	0.037	0.051	0.057	0.047	0.047	0.049	0.047	0.036	0.038	0.067	0.059	0.050	0.050	0.044	0.044	0.076	0.037	0.043	0.044	0.048	0.040	0.044	0.044	0.038	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
2:29:43	25.1	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.039	0.052	0.051	0.051	0.051	0.053	0.050	0.037	0.037	0.050	0.057	0.048	0.048	0.049	0.047	0.036	0.038	0.069	0.061	0.051	0.050	0.045	0.044	0.077	0.037	0.044	0.044	0.049	0.040	0.045	0.045	0.038	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
2:59:43	25.1	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.039	0.053	0.052	0.052	0.052	0.054	0.051	0.037	0.037	0.051	0.058	0.050	0.049	0.051	0.049	0.036	0.037	0.071	0.063	0.052	0.051	0.046	0.045	0.078	0.037	0.045	0.045	0.051	0.040	0.045	0.046	0.038	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.037
3:29:43	25.1	0.036	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.039	0.054	0.053	0.053	0.052	0.055	0.051	0.037	0.037	0.051	0.059	0.051	0.051	0.052	0.050	0.036	0.037	0.075	0.067	0.054	0.052	0.047	0.046	0.079	0.037	0.046	0.046	0.052	0.040	0.046	0.046	0.038	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
3:59:43	25.1	0.036	0.035	0.036	0.037	0.037	0.037	0.037	0.037	0.039	0.055	0.055	0.055	0.054	0.056	0.052	0.036	0.037	0.052	0.061	0.053	0.053	0.055	0.052	0.036	0.037	0.079	0.071	0.056	0.053	0.048	0.047	0.080	0.036	0.047	0.047	0.055	0.040	0.047	0.048	0.038	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
4:29:43	25.1	0.037	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.039	0.058	0.058	0.058	0.057	0.059	0.054	0.036	0.037	0.053	0.065	0.056	0.056	0.059	0.054	0.036	0.038	0.084	0.077	0.059	0.056	0.050	0.049	0.080	0.037	0.049	0.049	0.059	0.040	0.049	0.049	0.038	0.038	0.037	0.038	0.037	0.037	0.037	0.037	0.036
4:59:43	25.1	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.039	0.062	0.062	0.063	0.060	0.062	0.056	0.036	0.037	0.056	0.070	0.060	0.059	0.063	0.058	0.036	0.037	0.091	0.084	0.062	0.059	0.053	0.052	0.081	0.036	0.051	0.052	0.064	0.040	0.051	0.051	0.038	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
5:29:43	25.1	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.039	0.068	0.068	0.069	0.066	0.068	0.059	0.036	0.037	0.059	0.077	0.064	0.065	0.069	0.062	0.036	0.037	0.100	0.095	0.067	0.063	0.057	0.055	0.081	0.037	0.054	0.055	0.070	0.040	0.054	0.055	0.037	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
5:59:43	25.1	0.036	0.035	0.036	0.036	0.037	0.037	0.037	0.036	0.039	0.075	0.075	0.077	0.072	0.075	0.065	0.036	0.037	0.063	0.086	0.071	0.072	0.076	0.079	0.036	0.037	0.113	0.110	0.074	0.069	0.062	0.060	0.081	0.036	0.058	0.059	0.079	0.040	0.058	0.058	0.037	0.038	0.037	0.037	0.037	0.037	0.037	0.037	0.036
6:29:43	25.1	0.036	0.036	0.036	0.037	0.036	0.037	0.037	0.036	0.039	0.086	0.085	0.088	0.082	0.085	0.072	0.036	0.037	0.068	0.099	0.081	0.086	0.090	0.078	0.036	0.037	0.134	0.133	0.085	0.078	0.071	0.068	0.082	0.036	0.064	0.065	0.091	0.040	0.064	0.064	0.037	0.038	0.038	0.037	0.037	0.037	0.037	0.037	0.036
6:59:43	25.1	0.036	0.035	0.037	0.036	0.036	0.037	0.037	0.037	0.039	0.099	0.101	0.105	0.095	0.099	0.081	0.037	0.037	0.076	0.116	0.100	0.105	0.118	0.094	0.036	0.037	0.161	0.163	0.100	0.089	0.083	0.079	0.083	0.036	0.072	0.076	0.107	0.040	0.072	0.071	0.037	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
7:29:43	25.1	0.036	0.035	0.036	0.036	0.036	0.037	0.037	0.036	0.039	0.120	0.123	0.130	0.116	0.121	0.094	0.036	0.037	0.088	0.140	0.126	0.131	0.148	0.117	0.036	0.037	0.195	0.204	0.122	0.108	0.101	0.095	0.083	0.036	0.084	0.089	0.128	0.040	0.082	0.081	0.037	0.038	0.037	0.037	0.037	0.037	0.037	0.037	0.036
7:59:43	25.1	0.036	0.036	0.037	0.036	0.037	0.037	0.037	0.036	0.039	0.149	0.156	0.164	0.146	0.151	0.113	0.036	0.037	0.101	0.174	0.160	0.166	0.185	0.142	0.036	0.037	0.238	0.248	0.152	0.133	0.128	0.119	0.084	0.036	0.102	0.110	0.156	0.040	0.097	0.095	0.037	0.038	0.037	0.038	0.037	0.037	0.037	0.037	0.036
8:29:43	25.1	0.036	0.035	0.036	0.036	0.036	0.037	0.037	0.036	0.039	0.183	0.192	0.203	0.181	0.190	0.144	0.036	0.037	0.124	0.211	0.198	0.200	0.224	0.175	0.036	0.037	0.283	0.298	0.193	0.168	0.166	0.151	0.085	0.036	0.127	0.138	0.191	0.040	0.116	0.113	0.038	0.038	0.037	0.038	0.037	0.037	0.037	0.037	0.036
8:59:43	25.1	0.036	0.036	0.037	0.036	0.036	0.037	0.037	0.036	0.039	0.227	0.242	0.253	0.228	0.232	0.180	0.036	0.037	0.154	0.261	0.242	0.244	0.266	0.213	0.036	0.037	0.336	0.346	0.240	0.215	0.203	0.191	0.085	0.036	0.160	0.176	0.233	0.040	0.141	0.138	0.037	0.038	0.037	0.037	0.037	0.037	0.037	0.037	0.036
9:29:43	25.1	0.036	0.035	0.036	0.036	0.036	0.037	0.037	0.037	0.039	0.277	0.295	0.301	0.277	0.289	0.220	0.036	0.037	0.189	0.326	0.289	0.285	0.303	0.251	0.036	0.037	0.379	0.386	0.291	0.261	0.248	0.231	0.086	0.036	0.199	0.217	0.272	0.040	0.174	0.170	0.038	0.038	0.037	0.038	0.037	0.037	0.037	0.037	0.036
9:59:43	25.1	0.036	0.035	0.036	0.036	0.036	0.037	0.036	0.036	0.039	0.320	0.339	0.339	0.320	0.342	0.271	0.036	0.037	0.235	0.408	0.339	0.319	0.333	0.287	0.036	0.037	0.410	0.415	0.338	0.319	0.283	0.272	0.087	0.036	0.238	0.261	0.313	0.040	0.212	0.208	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036
10:29:43	25.1	0.036	0.035	0.036	0.036	0.036	0.037	0.036	0.036	0.039	0.353	0.371	0.380	0.366	0.387	0.316	0.036	0.037	0.296	0.473	0.374	0.337	0.351	0.313	0.036	0.037	0.429	0.422	0.378	0.374	0.309	0.299	0.088	0.036	0.277	0.294	0.356	0.040	0.249	0.245	0.037	0.038	0.037	0.038	0.037	0.037	0.037	0.037	0.036
10:59:43	25.1	0.036	0.036	0.036	0.036	0.036	0.037	0.036	0.037	0.039	0.384	0.405	0.414	0.407	0.435	0.369	0.036	0.037	0.357	0.513	0.392	0.344	0.360	0.333	0.036	0.037	0.424	0.414	0.414	0.428	0.329	0.320	0.089	0.036	0.305	0.320	0.388	0.040	0.288	0.285	0.037	0.038	0.037	0.038	0.037	0.037	0.037	0.037	0.036
11:29:43	25.0	0.036	0.035	0.036	0.036	0.036	0.037	0.036	0.036	0.039	0.401	0.426	0.432	0.428	0.474	0.400	0.036	0.036	0.411	0.549	0.398	0.350	0.364	0.346	0.036	0.037	0.418	0.408	0.417	0.464	0.329	0.323	0.093	0.036	0.328	0.342	0.410	0.040	0.327	0.324	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036
11:59:43	25.1	0.036	0.035	0.036	0.036	0.036	0.037	0.036	0.037	0.039	0.407	0.437	0.441	0.438	0.497	0.434	0.036	0.036	0.445	0.562	0.400	0.350	0.366	0.352	0.036	0.037	0.417	0.406	0.407	0.484	0.322	0.315	0.094	0.036	0.338	0.343	0.419	0.040	0.355	0.358	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036
