

Software Version	2.01.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Catherine24hrgrowthcurve_161214_162417.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Catherine24hrgrowthcurve.prt



Plate Number	Plate 1
Date	12/14/2016
Time	4:24:17 PM
Reader Type:	Synergy Mx
Reader Serial Number:	219512
Reading Type	Reader

Procedure Details

Plate Type	Costar 48 well
Set Temperature	Setpoint 25°C
	Preheat before moving to next step
Shake	Medium, 0:10 (MM:SS)
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:15:00, 97 Reads
    Shake	Slow, Continuous
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Layout
	1	2	3	4	5	6	7	8
A	SPL1	SPL9	SPL17	SPL25	SPL33	SPL41	SPL49	SPL57	Well ID
B	SPL2	SPL10	SPL18	SPL26	SPL34	SPL42	SPL50	SPL58	Well ID
C	SPL3	SPL11	SPL19	SPL27	SPL35	SPL43	SPL51	SPL59	Well ID
D	SPL4	SPL12	SPL20	SPL28	SPL36	SPL44	SPL52	SPL60	Well ID
E	SPL5	SPL13	SPL21	SPL29	SPL37	SPL45	SPL53	SPL61	Well ID
F	SPL6	SPL14	SPL22	SPL30	SPL38	SPL46	SPL54	SPL62	Well ID



Actual Temperature:	25.0

Results
	1	2	3	4	5	6	7	8
A	0.037	0.036	0.036	0.036	0.036	0.037	0.036	0.036	Read 1:600
B	0.040	0.057	0.055	0.061	0.057	0.041	0.089	0.043	Read 1:600
C	0.039	0.067	0.099	0.050	0.047	0.049	0.049	0.039	Read 1:600
D	0.039	0.041	0.050	0.049	0.045	0.045	0.043	0.040	Read 1:600
E	0.039	0.043	0.042	0.044	0.042	0.049	0.046	0.040	Read 1:600
F	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.037	Read 1:600

Read 2:600

Time	T° Read 2:600	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	E1	E2	E3	E4	E5	E6	E7	E8	F1	F2	F3	F4	F5	F6	F7	F8
0:14:43	25.0	0.037	0.035	0.036	0.037	0.037	0.037	0.036	0.037	0.040	0.057	0.056	0.055	0.059	0.065	0.073	0.043	0.040	0.056	0.071	0.047	0.046	0.048	0.048	0.039	0.039	0.044	0.054	0.054	0.045	0.043	0.043	0.040	0.039	0.042	0.043	0.045	0.043	0.045	0.044	0.040	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.037
0:29:43	25.0	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.037	0.040	0.054	0.054	0.054	0.056	0.080	0.079	0.043	0.040	0.058	0.085	0.047	0.046	0.047	0.048	0.039	0.039	0.045	0.050	0.051	0.045	0.044	0.043	0.040	0.040	0.043	0.043	0.045	0.044	0.044	0.044	0.040	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
0:44:43	25.0	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.040	0.051	0.053	0.053	0.054	0.071	0.076	0.043	0.040	0.059	0.084	0.047	0.045	0.046	0.047	0.039	0.039	0.044	0.047	0.049	0.047	0.044	0.043	0.040	0.039	0.043	0.043	0.044	0.044	0.044	0.044	0.041	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
0:59:43	25.1	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.040	0.050	0.052	0.052	0.052	0.068	0.071	0.043	0.040	0.059	0.085	0.046	0.045	0.045	0.047	0.039	0.039	0.047	0.050	0.051	0.049	0.044	0.043	0.040	0.039	0.043	0.044	0.045	0.044	0.044	0.044	0.040	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
1:14:43	25.1	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.040	0.050	0.052	0.052	0.052	0.064	0.066	0.043	0.040	0.059	0.075	0.047	0.045	0.046	0.047	0.039	0.039	0.048	0.050	0.050	0.049	0.045	0.044	0.040	0.040	0.043	0.044	0.045	0.044	0.045	0.045	0.041	0.038	0.038	0.038	0.038	0.037	0.037	0.037	0.036
1:29:43	25.1	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.040	0.050	0.052	0.052	0.051	0.060	0.062	0.043	0.040	0.056	0.059	0.047	0.045	0.045	0.047	0.039	0.039	0.047	0.049	0.049	0.049	0.045	0.044	0.040	0.040	0.044	0.044	0.045	0.044	0.045	0.045	0.041	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
1:44:43	25.1	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.040	0.050	0.052	0.052	0.051	0.057	0.059	0.043	0.040	0.054	0.054	0.047	0.045	0.046	0.047	0.039	0.039	0.047	0.049	0.049	0.049	0.045	0.044	0.040	0.040	0.044	0.044	0.045	0.045	0.045	0.045	0.040	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.037
1:59:43	25.1	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.040	0.050	0.052	0.052	0.052	0.056	0.058	0.043	0.040	0.053	0.052	0.047	0.045	0.046	0.048	0.039	0.039	0.047	0.049	0.049	0.049	0.045	0.044	0.040	0.039	0.044	0.045	0.045	0.045	0.045	0.045	0.040	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
2:14:43	25.1	0.036	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.040	0.050	0.052	0.052	0.052	0.056	0.058	0.043	0.040	0.053	0.051	0.048	0.046	0.046	0.048	0.039	0.039	0.048	0.049	0.049	0.050	0.046	0.045	0.040	0.040	0.045	0.045	0.046	0.045	0.045	0.046	0.041	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
2:29:43	25.1	0.036	0.036	0.037	0.036	0.037	0.037	0.036	0.037	0.040	0.050	0.053	0.052	0.052	0.055	0.057	0.043	0.040	0.053	0.051	0.049	0.046	0.047	0.049	0.039	0.039	0.048	0.049	0.050	0.050	0.046	0.045	0.040	0.039	0.045	0.045	0.046	0.046	0.046	0.046	0.040	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
2:44:43	25.1	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.040	0.050	0.053	0.053	0.052	0.055	0.057	0.043	0.040	0.053	0.051	0.049	0.047	0.048	0.049	0.039	0.039	0.049	0.050	0.051	0.051	0.047	0.046	0.040	0.039	0.045	0.046	0.047	0.046	0.047	0.047	0.041	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
2:59:43	25.1	0.036	0.036	0.037	0.036	0.037	0.037	0.036	0.037	0.040	0.051	0.054	0.053	0.053	0.056	0.058	0.043	0.040	0.054	0.051	0.050	0.047	0.048	0.051	0.039	0.039	0.049	0.051	0.052	0.052	0.047	0.046	0.040	0.040	0.046	0.046	0.047	0.047	0.047	0.047	0.041	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
3:14:43	25.1	0.036	0.036	0.037	0.036	0.037	0.037	0.036	0.037	0.040	0.051	0.055	0.054	0.053	0.056	0.058	0.043	0.040	0.054	0.051	0.051	0.048	0.049	0.051	0.039	0.039	0.050	0.052	0.053	0.053	0.048	0.047	0.040	0.039	0.047	0.047	0.048	0.048	0.048	0.048	0.040	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
3:29:43	25.1	0.036	0.036	0.037	0.036	0.037	0.037	0.036	0.036	0.040	0.052	0.056	0.055	0.054	0.057	0.059	0.043	0.040	0.055	0.051	0.053	0.049	0.050	0.053	0.039	0.039	0.051	0.053	0.054	0.055	0.049	0.048	0.040	0.039	0.047	0.048	0.049	0.049	0.049	0.049	0.041	0.038	0.038	0.038	0.037	0.037	0.037	0.037	0.036
